id,tanggal,Facebook,Instagram,TikTok,Penjualan
663,24 Okt 2025,36404,6502,322,1
664,25 Okt 2025,36698,6406,386,2
665,26 Okt 2025,36520,6494,350,0
666,27 Okt 2025,36708,6418,394,3
667,28 Okt 2025,36434,6522,336,3
668,29 Okt 2025,36686,6428,388,1
669,30 Okt 2025,36540,6492,352,1
670,31 Okt 2025,46409,6458,344,3
671,01 Nov 2025,23562,16830,148,2
672,02 Nov 2025,23564,16828,150,1
673,03 Nov 2025,23560,16832,146,2
674,04 Nov 2025,23566,16826,152,2
675,05 Nov 2025,23558,16834,144,2
676,06 Nov 2025,23568,16824,154,0
677,07 Nov 2025,23556,16836,142,0
678,08 Nov 2025,23570,16822,156,1
679,09 Nov 2025,23554,16838,140,2
680,10 Nov 2025,23572,16820,158,2
681,11 Nov 2025,23552,16840,138,3
682,12 Nov 2025,23574,16818,160,2
683,13 Nov 2025,23550,16842,136,3
684,14 Nov 2025,23576,16816,162,1
685,15 Nov 2025,23548,16844,134,2
686,16 Nov 2025,23578,16814,164,0
687,17 Nov 2025,23546,16846,132,0
688,18 Nov 2025,23580,16812,166,1
689,19 Nov 2025,23544,16848,130,1
690,20 Nov 2025,23582,16810,168,0
691,21 Nov 2025,23542,16850,128,2
692,22 Nov 2025,23584,16808,170,0
693,23 Nov 2025,23540,16852,126,0
694,24 Nov 2025,23586,16806,172,2
695,25 Nov 2025,23538,16854,124,0
696,26 Nov 2025,23588,16804,174,1
697,27 Nov 2025,23536,16856,122,2
698,28 Nov 2025,23590,16802,176,0
699,29 Nov 2025,23534,16858,120,3
700,30 Nov 2025,23564,16829,145,3
701,01 Des 2025,27572,4714,196,3
702,02 Des 2025,27570,4716,194,0
703,03 Des 2025,27574,4712,196,1
704,04 Des 2025,27568,4718,192,2
705,05 Des 2025,27576,4710,198,3
706,06 Des 2025,27566,4720,190,1
707,07 Des 2025,27580,4708,200,1
708,08 Des 2025,27564,4722,188,2
709,09 Des 2025,27582,4706,202,2
710,10 Des 2025,27560,4724,186,0
711,11 Des 2025,27584,4704,204,1
712,12 Des 2025,27558,4726,184,0
713,13 Des 2025,27586,4702,206,0
714,14 Des 2025,27556,4728,182,2
715,15 Des 2025,27588,4700,208,0
716,16 Des 2025,27554,4730,180,2
717,17 Des 2025,27590,4698,210,0
718,18 Des 2025,27552,4732,178,0
719,19 Des 2025,27592,4696,212,1
720,20 Des 2025,27550,4734,176,0
721,21 Des 2025,27594,4694,214,3
722,22 Des 2025,27548,4736,174,0
723,23 Des 2025,27596,4692,216,2
724,24 Des 2025,27546,4738,172,3
725,25 Des 2025,27598,4690,218,2
726,26 Des 2025,27544,4740,170,2
727,27 Des 2025,27600,4688,220,3
728,28 Des 2025,27542,4742,168,2
729,29 Des 2025,27602,4686,222,3
730,30 Des 2025,27540,4744,166,3
731,31 Des 2025,27567,4711,196,1
